관리번호,노선명,노선번호,기점,종점,총연장,포장도연장 계(단위:㎞),포장도연장 2차선,포장도연장 4차선,포장도연장 6차선,포장도연장 8차선,미개설도연장(단위:㎞)
1078,소로3류154호선,시도1078호선(도당-도당),도당동 144,도당동 145,0.17,0.17,0.17,,,,
1079,소로3류155호선,시도1079호선(도당-도당),도당동 144,도당동 145,0.29,0.29,0.29,,,,
1080,소로3류156호선,시도1080호선(도당-도당),도당동 144,도당동 144,0.05,0.05,0.05,,,,
1081,소로3류157호선,시도1081호선(도당-도당),도당동 145,도당동 144,0.246,0.246,0.246,,,,
1082,소로3류158호선,시도1082호선(도당-도당),도당동 145,도당동 145,0.16,0.16,0.16,,,,
1083,소로3류159호선,시도1083호선(도당-도당),도당동 144,도당동 144,0.29,0.29,0.29,,,,
1084,소로3류160호선,시도1084호선(도당-도당),도당동 144,도당동 144,0.24,0.24,0.24,,,,
1085,소로3류161호선,시도1085호선(내동-내동),내동 394,내동 389,0.3,0.3,0.3,,,,
1086,소로3류162호선,시도1086호선(내동-내동),내동 389,내동 389,0.067,0.067,0.067,,,,
1087,소로3류163호선,시도1087호선(내동-내동),내동 393,내동 393,0.098,0.098,0.098,,,,
1088,소로3류164호선,시도1088호선(내동-내동),내동 391,내동 391,0.088,0.088,0.088,,,,
1089,소로3류165호선,시도1089호선(내동-내동),내동 394,내동 394,0.229,0.229,0.229,,,,
1090,소로3류166호선,시도1090호선(내동-내동),내동 394,내동 393,0.437,0.437,0.437,,,,
1091,소로3류167호선,시도1091호선(내동-내동),내동 394,내동 393,0.436,0.436,0.436,,,,
1092,소로3류168호선,시도1092호선(내동-내동),내동 411,내동 411,0.105,0.105,0.105,,,,
1093,소로3류169호선,시도1093호선(도당-도당),도당동 143,도당동 148,0.46,0.46,0.46,,,,
1094,소로3류170호선,시도1094호선(도당-도당),도당동 146,도당동 146,0.272,0.272,0.272,,,,
1095,소로3류171호선,시도1095호선(도당-도당),도당동 146,도당동 146,0.119,0.119,0.119,,,,
1096,소로3류172호선,시도1096호선(도당-도당),도당동 148,도당동 146,0.246,0.246,0.246,,,,
1097,소로3류173호선,시도1097호선(도당-도당),도당동 148,도당동 148,0.205,0.205,0.205,,,,
1098,소로3류174호선,시도1098호선(도당-도당),도당동 148,도당동 148,0.24,0.24,0.24,,,,
